name,description
114年3月31日至114年4月6日資料.ods,114年3月31日至114年4月6日資料
114年4月7日至114年4月13日資料.ods,114年4月7日至114年4月13日資料
114年4月14日至114年4月20日資料.ods,114年4月14日至114年4月20日資料
114年4月21日至114年4月27日資料.ods,114年4月21日至114年4月27日資料
114年4月28日至114年5月4日資料.ods,114年4月28日至114年5月4日資料
114年5月5日至114年5月11日資料.ods,114年5月5日至114年5月11日資料
114年5月12日至114年5月18日資料.ods,114年5月12日至114年5月18日資料
114年5月19日至114年5月25日資料.ods,114年5月19日至114年5月25日資料
114年5月26日至114年6月1日資料.ods,114年5月26日至114年6月1日資料
114年6月2日至114年6月8日資料.ods,114年6月2日至114年6月8日資料
114年6月9日至114年6月16日資料.ods,114年6月9日至114年6月15日資料
114年6月16日至114年6月22日資料.ods,114年6月16日至114年6月22日資料
114年6月23日至114年6月29日資料.ods,114年6月23日至114年6月29日資料
114年6月30日至114年7月6日資料.ods,114年6月30日至114年7月6日資料
114年7月7日至114年7月13日資料.ods,114年7月7日至114年7月13日資料
114年7月14日至114年7月20日資料.ods,114年7月14日至114年7月20日資料
114年7月21日至114年7月27日資料.ods,114年7月21日至114年7月27日資料
114年7月28日至114年8月3日資料.ods,114年7月28日至114年8月3日資料
114年8月4日至114年8月10日資料.ods,114年8月4日至114年8月10日資料
114年8月11日至114年8月17日資料.ods,114年8月11日至114年8月17日資料
114年8月18日至114年8月24日資料.ods,114年8月18日至114年8月24日資料
114年8月25日至114年8月31日資料.ods,114年8月25日至114年8月31日資料
114年9月1日至114年9月7日資料.ods,114年9月1日至114年9月7日資料
